CMD,%MEM,%CPU,PSR,TIME
/home/cpu2017/bin/specperl,0.8,10.2,4,185
/home/cpu2017/bin/specinvok,0.0,0.6,5,185
/home/cpu2017/bin/specperl,0.7,0.0,4,185
/home/cpu2017/bin/specperl,0.2,108,5,185
specperl -I/home/cpu2017/bi,0.7,0.5,5,190
/home/cpu2017/bin/specperl,0.9,6.9,5,190
specperl -I/home/cpu2017/bi,0.6,0.3,4,190
specperl -I/home/cpu2017/bi,0.7,0.5,5,195
/home/cpu2017/bin/specperl,0.9,7.6,4,195
specperl -I/home/cpu2017/bi,0.6,0.3,5,195
/home/cpu2017/bin/specperl,0.9,0.0,4,195
specperl -I/home/cpu2017/bi,0.7,0.5,5,200
/home/cpu2017/bin/specperl,0.9,8.0,4,200
specperl -I/home/cpu2017/bi,0.6,0.3,4,200
specperl -I/home/cpu2017/bi,0.7,0.5,5,205
/home/cpu2017/bin/specperl,0.9,8.2,5,205
specperl -I/home/cpu2017/bi,0.6,0.3,4,205
/home/cpu2017/bin/specperl,0.9,0.0,5,205
specperl -I/home/cpu2017/bi,0.7,0.5,5,210
/home/cpu2017/bin/specperl,0.9,8.5,4,210
specperl -I/home/cpu2017/bi,0.6,0.3,5,210
/home/cpu2017/bin/specperl,0.1,550,5,210
specperl -I/home/cpu2017/bi,0.7,0.4,5,215
/home/cpu2017/bin/specperl,0.9,8.3,5,215
specperl -I/home/cpu2017/bi,0.6,0.3,5,215
/home/cpu2017/bin/specperl,0.8,49.0,4,215
/home/cpu2017/bin/specperl,0.8,49.1,5,215
/home/cpu2017/bin/specinvok,0.0,0.0,5,215
/home/cpu2017/bin/specperl,0.8,0.0,5,215
../run_base_train_mytest-64,1.7,100,5,215
/home/cpu2017/bin/specinvok,0.0,0.0,4,215
/home/cpu2017/bin/specperl,0.8,0.0,5,215
../run_base_train_mytest-64,0.2,102,4,215
specperl -I/home/cpu2017/bi,0.7,0.4,5,220
/home/cpu2017/bin/specperl,0.9,8.1,5,220
specperl -I/home/cpu2017/bi,0.6,0.3,5,220
/home/cpu2017/bin/specperl,0.8,24.7,4,220
/home/cpu2017/bin/specperl,0.8,24.6,5,220
/home/cpu2017/bin/specinvok,0.0,0.0,5,220
/home/cpu2017/bin/specperl,0.8,0.1,5,220
../run_base_train_mytest-64,3.0,98.7,5,220
/home/cpu2017/bin/specinvok,0.0,0.0,4,220
/home/cpu2017/bin/specperl,0.8,0.1,5,220
../run_base_train_mytest-64,0.4,99.5,4,220
specperl -I/home/cpu2017/bi,0.7,0.4,5,225
/home/cpu2017/bin/specperl,0.9,7.9,5,225
specperl -I/home/cpu2017/bi,0.6,0.3,5,225
/home/cpu2017/bin/specperl,0.8,16.5,4,225
/home/cpu2017/bin/specperl,0.8,16.4,5,225
/home/cpu2017/bin/specinvok,0.0,0.0,5,225
/home/cpu2017/bin/specperl,0.8,0.1,5,225
../run_base_train_mytest-64,3.9,98.9,5,225
/home/cpu2017/bin/specinvok,0.0,0.0,4,225
/home/cpu2017/bin/specperl,0.8,0.1,5,225
../run_base_train_mytest-64,0.0,102,4,225
specperl -I/home/cpu2017/bi,0.7,0.4,5,230
/home/cpu2017/bin/specperl,0.9,7.7,5,230
specperl -I/home/cpu2017/bi,0.6,0.3,5,230
/home/cpu2017/bin/specperl,0.8,12.4,4,230
/home/cpu2017/bin/specperl,0.8,12.3,5,230
/home/cpu2017/bin/specinvok,0.0,0.0,5,230
/home/cpu2017/bin/specperl,0.8,0.1,5,230
../run_base_train_mytest-64,4.9,98.8,5,230
/home/cpu2017/bin/specinvok,0.0,0.0,4,230
/home/cpu2017/bin/specperl,0.8,0.1,5,230
../run_base_train_mytest-64,0.5,106,4,230
specperl -I/home/cpu2017/bi,0.7,0.4,5,235
/home/cpu2017/bin/specperl,0.9,7.6,5,235
specperl -I/home/cpu2017/bi,0.6,0.3,5,235
/home/cpu2017/bin/specperl,0.8,10.2,4,235
/home/cpu2017/bin/specperl,0.8,9.8,5,235
/home/cpu2017/bin/specinvok,0.0,0.0,5,235
/home/cpu2017/bin/specperl,0.8,0.1,4,235
../run_base_train_mytest-64,5.8,98.6,5,235
/home/cpu2017/bin/specinvok,0.0,25.0,4,235
/home/cpu2017/bin/specperl,0.7,0.0,4,235
/home/cpu2017/bin/specperl,0.1,266,4,235
specperl -I/home/cpu2017/bi,0.7,0.4,5,240
/home/cpu2017/bin/specperl,0.9,7.4,4,240
specperl -I/home/cpu2017/bi,0.6,0.3,5,240
/home/cpu2017/bin/specperl,0.8,8.2,5,240
/home/cpu2017/bin/specinvok,0.0,0.0,5,240
/home/cpu2017/bin/specperl,0.8,0.1,5,240
../run_base_train_mytest-64,1.2,99.5,5,240
/home/cpu2017/bin/specperl,0.3,102,4,240
specperl -I/home/cpu2017/bi,0.7,0.4,5,245
/home/cpu2017/bin/specperl,0.9,7.3,5,245
specperl -I/home/cpu2017/bi,0.6,0.3,5,245
/home/cpu2017/bin/specperl,0.8,7.0,5,245
/home/cpu2017/bin/specinvok,0.0,0.0,5,245
/home/cpu2017/bin/specperl,0.8,0.1,5,245
../run_base_train_mytest-64,2.3,99.1,5,245
/home/cpu2017/bin/specperl,0.8,19.4,4,245
/home/cpu2017/bin/specinvok,0.0,0.0,4,245
/home/cpu2017/bin/specperl,0.7,0.0,5,245
../run_base_train_mytest-64,0.1,100,4,245
specperl -I/home/cpu2017/bi,0.7,0.4,5,250
/home/cpu2017/bin/specperl,0.9,7.1,5,250
specperl -I/home/cpu2017/bi,0.6,0.3,5,250
/home/cpu2017/bin/specperl,0.8,6.1,5,250
/home/cpu2017/bin/specinvok,0.0,0.0,5,250
/home/cpu2017/bin/specperl,0.8,0.1,5,250
../run_base_train_mytest-64,3.2,98.6,5,250
/home/cpu2017/bin/specperl,0.8,10.0,4,250
/home/cpu2017/bin/specinvok,0.0,0.0,4,250
/home/cpu2017/bin/specperl,0.7,0.1,5,250
../run_base_train_mytest-64,0.1,99.7,4,250
specperl -I/home/cpu2017/bi,0.7,0.4,5,255
/home/cpu2017/bin/specperl,0.9,7.0,5,255
specperl -I/home/cpu2017/bi,0.6,0.3,5,255
/home/cpu2017/bin/specperl,0.8,5.4,5,255
/home/cpu2017/bin/specinvok,0.0,0.0,5,255
/home/cpu2017/bin/specperl,0.8,0.1,5,255
../run_base_train_mytest-64,4.0,98.5,5,255
/home/cpu2017/bin/specperl,0.8,6.7,4,255
/home/cpu2017/bin/specinvok,0.0,0.0,4,255
/home/cpu2017/bin/specperl,0.7,0.1,5,255
../run_base_train_mytest-64,0.1,99.5,4,255
specperl -I/home/cpu2017/bi,0.7,0.4,5,260
/home/cpu2017/bin/specperl,0.9,6.8,5,260
specperl -I/home/cpu2017/bi,0.6,0.3,5,260
/home/cpu2017/bin/specperl,0.8,4.9,5,260
/home/cpu2017/bin/specinvok,0.0,0.0,5,260
/home/cpu2017/bin/specperl,0.8,0.1,5,260
/home/cpu2017/bin/specperl,0.8,5.1,4,260
/home/cpu2017/bin/specinvok,0.0,0.0,4,260
/home/cpu2017/bin/specperl,0.7,0.1,5,260
../run_base_train_mytest-64,0.1,99.6,4,260
../run_base_train_mytest-64,0.3,280,5,260
specperl -I/home/cpu2017/bi,0.7,0.4,5,265
/home/cpu2017/bin/specperl,0.9,6.7,5,265
specperl -I/home/cpu2017/bi,0.6,0.3,5,265
/home/cpu2017/bin/specperl,0.8,4.5,5,265
/home/cpu2017/bin/specperl,0.8,4.0,4,265
/home/cpu2017/bin/specinvok,0.0,0.0,4,265
/home/cpu2017/bin/specperl,0.7,0.1,5,265
../run_base_train_mytest-64,2.4,99.3,4,265
